Gene,HRA_LFC,HRA_sig,RZV_D14,RZV_D74,RZV_D365,Direction
CHD2,0.29,***,-0.4,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
DPP7,-0.54,**,0.6,0.8,0.8,OPPOSITE (HZ↓ RZV↑)
MPLKIP,0.38,***,0.1,-0.0,0.1,CONCORDANT ↑
AP1S2,0.26,***,0.5,0.2,0.2,CONCORDANT ↑
DCTN1,0.5,***,0.1,0.3,0.3,CONCORDANT ↑
TMEM259,-0.33,**,0.3,0.3,0.5,OPPOSITE (HZ↓ RZV↑)
GRK2,-0.45,ns,-0.7,-1.3,0.2,CONCORDANT ↓
LCP1,0.65,***,-0.0,0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
BTN3A3,0.35,***,0.9,4.5,1.8,CONCORDANT ↑
ERGIC2,0.4,***,0.2,0.1,0.3,CONCORDANT ↑
SDHAF3,0.26,***,-0.0,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
BCL7B,-0.33,***,-0.1,-0.3,0.2,CONCORDANT ↓
ITGB7,-0.36,***,-0.8,1.1,-0.3,CONCORDANT ↓
RPS3A,1.22,***,-0.5,-0.1,-0.3,OPPOSITE (HZ↑ RZV↓)
SDHC,0.29,***,0.1,0.0,-0.1,CONCORDANT ↑
UBE2E3,-0.29,***,0.1,-0.1,-0.1,OPPOSITE (HZ↓ RZV↑)
PRKAR1A,0.37,***,-0.0,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
DDX24,-0.44,***,-0.1,-0.3,-0.1,CONCORDANT ↓
MT-ND4L,-0.92,***,-0.5,-0.3,0.0,CONCORDANT ↓
CCDC47,0.29,***,-0.4,-0.4,-0.1,OPPOSITE (HZ↑ RZV↓)
ARHGAP25,0.26,***,1.9,1.6,0.7,CONCORDANT ↑
RPL13,0.28,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
PPP1CC,0.27,***,0.8,0.6,0.3,CONCORDANT ↑
EPSTI1,0.34,***,0.4,-0.1,-0.0,CONCORDANT ↑
NDUFS7,0.29,***,0.5,0.4,0.1,CONCORDANT ↑
CIAO2B,-1.42,***,-0.2,-0.3,-0.1,CONCORDANT ↓
TAF15,0.83,***,0.0,0.7,-0.2,CONCORDANT ↑
TSEN54,-0.5,*,-0.4,-0.8,0.1,CONCORDANT ↓
USP28,0.6,***,-1.0,-1.4,-0.7,OPPOSITE (HZ↑ RZV↓)
CAPRIN1,0.31,***,-0.2,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
EWSR1,-0.28,***,0.1,0.2,0.3,OPPOSITE (HZ↓ RZV↑)
ARHGDIB,-0.28,**,0.3,0.5,-0.5,OPPOSITE (HZ↓ RZV↑)
PDCD6IP,0.32,***,0.1,0.1,-0.2,CONCORDANT ↑
SMU1,0.29,***,-0.0,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
VIM,0.49,***,-1.0,-0.7,-0.8,OPPOSITE (HZ↑ RZV↓)
PPP1R18,0.41,***,0.2,0.2,-0.5,CONCORDANT ↑
MT-ND6,0.29,***,-0.6,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
MCUB,-0.35,***,0.1,0.6,0.4,OPPOSITE (HZ↓ RZV↑)
CDK2AP2,0.38,***,0.7,0.4,1.2,CONCORDANT ↑
XIAP,0.53,***,-0.6,-0.4,-0.5,OPPOSITE (HZ↑ RZV↓)
ABRACL,0.71,***,0.1,-0.1,0.0,CONCORDANT ↑
EIF4EBP2,0.31,***,-0.2,-0.4,-0.0,OPPOSITE (HZ↑ RZV↓)
EIF4G2,0.36,***,-0.0,-0.0,-0.1,OPPOSITE (HZ↑ RZV↓)
TRPC4AP,-0.43,*,0.1,0.4,0.1,OPPOSITE (HZ↓ RZV↑)
ADAM8,-0.25,***,-0.4,-1.4,-2.3,CONCORDANT ↓
SAP18,-0.39,***,-0.1,-0.3,0.1,CONCORDANT ↓
JAK1,-0.3,***,0.1,0.3,0.0,OPPOSITE (HZ↓ RZV↑)
WDR45,0.48,***,0.6,0.7,0.2,CONCORDANT ↑
HNRNPAB,0.35,***,-0.2,-0.3,0.0,OPPOSITE (HZ↑ RZV↓)
HOPX,0.25,***,-1.1,-0.5,0.6,OPPOSITE (HZ↑ RZV↓)
ARMC9,-1.57,***,2.1,-0.6,2.3,OPPOSITE (HZ↓ RZV↑)
WDR26,-0.27,***,0.7,0.2,-0.5,OPPOSITE (HZ↓ RZV↑)
ARIH2,-0.52,*,0.2,-0.0,0.0,OPPOSITE (HZ↓ RZV↑)
NDUFAB1,0.32,***,0.0,-0.1,-0.0,CONCORDANT ↑
NUDC,-0.35,***,-0.0,-0.4,0.2,CONCORDANT ↓
BRD8,0.3,***,0.0,0.0,0.2,CONCORDANT ↑
VCL,0.76,***,-0.7,-0.8,-0.2,OPPOSITE (HZ↑ RZV↓)
STAT1,0.85,***,-0.2,-0.4,-0.1,OPPOSITE (HZ↑ RZV↓)
HBB,-1.89,***,1.0,1.7,7.5,OPPOSITE (HZ↓ RZV↑)
RPL22,2.68,***,-0.1,0.1,0.1,OPPOSITE (HZ↑ RZV↓)
DAD1,0.56,***,-0.0,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
COMMD6,0.51,***,0.1,0.0,-0.1,CONCORDANT ↑
DDX1,0.27,***,0.1,0.0,0.6,CONCORDANT ↑
MT-CO2,-0.53,***,-0.3,-0.2,-0.1,CONCORDANT ↓
TMX1,0.36,***,-0.0,-0.2,0.4,OPPOSITE (HZ↑ RZV↓)
PUM2,0.28,***,0.5,0.4,-0.3,CONCORDANT ↑
ATM,0.65,***,0.1,0.0,-1.0,CONCORDANT ↑
SURF4,-0.26,***,0.0,0.0,0.1,OPPOSITE (HZ↓ RZV↑)
CCT3,0.31,***,0.1,-0.1,-0.2,CONCORDANT ↑
KMT2C,0.46,***,-0.1,-0.1,-0.4,OPPOSITE (HZ↑ RZV↓)
PSMA5,0.77,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
UTRN,0.3,***,-0.1,0.6,0.2,OPPOSITE (HZ↑ RZV↓)
GPSM3,-0.31,***,0.5,-0.4,-0.1,OPPOSITE (HZ↓ RZV↑)
TMSB4X,0.66,***,-0.2,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
HLA-DRB1,0.36,***,1.2,1.3,-0.7,CONCORDANT ↑
NOL8,0.28,***,0.1,0.0,0.0,CONCORDANT ↑
SNRPE,0.52,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
SNRPC,-0.27,***,0.1,-0.1,0.1,OPPOSITE (HZ↓ RZV↑)
OCIAD1,0.39,***,0.0,-0.2,-0.4,CONCORDANT ↑
VPS36,0.29,***,-0.2,-0.3,0.1,OPPOSITE (HZ↑ RZV↓)
PRF1,0.53,***,0.5,1.1,1.4,CONCORDANT ↑
UBE2L6,0.39,***,0.2,-0.0,-0.1,CONCORDANT ↑
TMED9,-0.29,***,-0.3,-0.2,-0.1,CONCORDANT ↓
ELOB,-0.27,***,0.1,-0.2,0.1,OPPOSITE (HZ↓ RZV↑)
PPWD1,0.37,***,-0.1,-0.5,0.1,OPPOSITE (HZ↑ RZV↓)
SPCS3,0.29,***,-0.0,-0.1,0.3,OPPOSITE (HZ↑ RZV↓)
S100A8,-0.61,***,-1.8,-3.6,-3.6,CONCORDANT ↓
DDX5,-0.27,***,-0.1,-0.1,0.0,CONCORDANT ↓
NAP1L4,0.26,***,0.3,0.3,0.1,CONCORDANT ↑
SETX,0.48,***,0.3,0.4,0.2,CONCORDANT ↑
FYN,-0.32,***,-0.1,0.0,-0.1,CONCORDANT ↓
RPL38,1.13,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
IQGAP1,0.33,***,0.2,0.9,0.6,CONCORDANT ↑
SCAF11,0.28,***,0.2,0.1,0.1,CONCORDANT ↑
MT2A,0.87,***,0.6,0.5,0.5,CONCORDANT ↑
SNRPA1,-0.29,***,-0.2,-0.1,0.4,CONCORDANT ↓
KMT2A,1.22,***,-0.3,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
NOP53,-0.81,**,-0.2,-0.3,-0.2,CONCORDANT ↓
MACF1,0.64,***,-0.4,0.6,-0.9,OPPOSITE (HZ↑ RZV↓)
FLII,-0.44,***,-0.2,-0.3,-0.1,CONCORDANT ↓
CCDC124,-0.32,***,-0.4,-0.2,0.6,CONCORDANT ↓
STIM2,-0.28,***,-0.2,-0.1,-0.3,CONCORDANT ↓
PEBP1,-0.29,***,-0.2,-0.3,-0.1,CONCORDANT ↓
UFSP2,0.27,***,1.4,-0.1,0.5,CONCORDANT ↑
CHCHD2,0.34,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
DGKZ,-0.32,***,-0.2,-0.3,-0.3,CONCORDANT ↓
CD7,-0.32,***,-0.4,-0.5,-0.5,CONCORDANT ↓
PCM1,0.27,***,0.1,0.1,-0.1,CONCORDANT ↑
ING3,-0.39,*,0.6,0.5,0.3,OPPOSITE (HZ↓ RZV↑)
MAN2A1,0.33,***,-0.3,-0.5,-0.3,OPPOSITE (HZ↑ RZV↓)
EIF2S1,0.29,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
CRTAM,0.29,***,0.7,-2.0,-0.2,CONCORDANT ↑
SP4,0.29,***,1.9,1.6,-0.3,CONCORDANT ↑
SLC2A3,-0.5,ns,-1.3,-0.6,-0.4,CONCORDANT ↓
ATP5MC3,0.42,***,0.1,0.0,0.1,CONCORDANT ↑
IFI35,0.26,***,-0.1,-0.1,0.5,OPPOSITE (HZ↑ RZV↓)
ESD,0.36,***,0.2,-0.1,-0.2,CONCORDANT ↑
ATP6V1G1,-0.41,***,-0.3,-0.4,0.1,CONCORDANT ↓
PSMA1,0.67,***,0.1,0.1,0.3,CONCORDANT ↑
PSME2,-0.28,***,-0.5,-0.7,0.0,CONCORDANT ↓
ARL1,0.33,***,0.5,0.0,0.5,CONCORDANT ↑
RDH11,1.02,***,0.5,0.7,0.8,CONCORDANT ↑
NBEAL1,-2.37,***,-0.2,-0.1,-1.3,CONCORDANT ↓
LINC00861,0.64,***,0.9,0.1,-0.4,CONCORDANT ↑
MAPRE2,-0.29,***,0.0,-0.0,-0.2,OPPOSITE (HZ↓ RZV↑)
RPL10A,0.48,***,-0.2,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
MRPL50,0.33,***,-0.1,-0.2,0.1,OPPOSITE (HZ↑ RZV↓)
REEP5,0.53,***,-0.3,-0.3,0.1,OPPOSITE (HZ↑ RZV↓)
SNX5,0.4,***,0.3,0.2,0.2,CONCORDANT ↑
BOD1L1,-0.26,***,0.5,0.5,0.3,OPPOSITE (HZ↓ RZV↑)
ARF6,-0.38,***,-0.3,-0.1,-0.2,CONCORDANT ↓
PACS1,-0.39,**,0.4,0.4,-0.0,OPPOSITE (HZ↓ RZV↑)
XPO1,0.57,***,0.1,0.2,-0.0,CONCORDANT ↑
OGT,0.3,***,0.3,0.4,-0.3,CONCORDANT ↑
HNRNPF,0.71,***,-0.0,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
DDX46,0.36,***,0.1,-0.0,0.1,CONCORDANT ↑
GLTP,-0.27,***,0.1,0.3,0.1,OPPOSITE (HZ↓ RZV↑)
RAD21,0.31,***,0.9,1.0,0.4,CONCORDANT ↑
WHAMM,-0.32,**,-0.1,0.1,0.4,CONCORDANT ↓
BRIX1,-0.27,***,-0.4,-0.5,-0.2,CONCORDANT ↓
DNAJA1,0.28,***,-0.1,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
NOP56,0.46,***,-0.1,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
EFHD2,-0.85,***,0.2,0.2,0.4,OPPOSITE (HZ↓ RZV↑)
NFKBIA,-2.12,***,-0.7,-0.4,0.0,CONCORDANT ↓
NACA,0.72,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
UHMK1,0.35,***,-0.1,-0.0,-0.3,OPPOSITE (HZ↑ RZV↓)
ATP5MC2,0.5,***,-0.1,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
PTEN,-0.43,***,0.5,0.1,-0.6,OPPOSITE (HZ↓ RZV↑)
AUP1,-0.5,***,-0.2,-0.1,0.4,CONCORDANT ↓
S100A11,0.74,***,-0.3,0.1,0.1,OPPOSITE (HZ↑ RZV↓)
ACSL4,0.29,***,0.1,0.4,0.2,CONCORDANT ↑
RPS23,1.23,***,-0.2,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
IPO7,0.27,***,-0.4,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
SELENOT,0.38,***,0.1,0.1,0.1,CONCORDANT ↑
BTN3A2,0.59,***,0.5,0.2,0.0,CONCORDANT ↑
DERL1,0.38,***,0.2,0.1,0.1,CONCORDANT ↑
SUPT16H,0.53,***,-0.0,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
CD53,0.77,***,-0.6,-0.2,-0.6,OPPOSITE (HZ↑ RZV↓)
CASP1,0.31,***,0.1,-0.1,0.2,CONCORDANT ↑
RNF126,-0.52,*,-0.1,-0.4,0.2,CONCORDANT ↓
KPNB1,0.34,***,-0.2,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
YWHAZ,0.58,***,-0.2,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
C14orf119,0.7,***,0.7,0.7,0.4,CONCORDANT ↑
RPS15A,0.95,***,-0.1,-0.3,-0.4,OPPOSITE (HZ↑ RZV↓)
MORF4L1,-0.31,***,0.0,-0.2,0.2,OPPOSITE (HZ↓ RZV↑)
VPS13A,0.3,***,-0.5,-0.1,-1.2,OPPOSITE (HZ↑ RZV↓)
CALCOCO2,0.52,***,0.3,0.0,0.8,CONCORDANT ↑
SELENOF,0.68,***,-0.1,-0.3,0.1,OPPOSITE (HZ↑ RZV↓)
TSPAN32,-0.27,***,1.2,0.7,-0.5,OPPOSITE (HZ↓ RZV↑)
SFT2D2,0.48,***,1.1,0.9,0.5,CONCORDANT ↑
TMEM43,0.5,***,-0.1,-0.2,0.4,OPPOSITE (HZ↑ RZV↓)
ATP5PB,0.58,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
LSM6,0.6,***,-0.2,-0.6,-0.1,OPPOSITE (HZ↑ RZV↓)
PSMD8,0.35,***,0.3,0.2,0.1,CONCORDANT ↑
ATP6V0E1,0.5,***,0.1,-0.2,0.1,CONCORDANT ↑
WAPL,-0.25,***,-0.2,-0.1,-0.3,CONCORDANT ↓
PRR5,0.55,***,-0.6,-1.3,-0.5,OPPOSITE (HZ↑ RZV↓)
DIAPH1,0.31,***,-0.2,-0.3,-0.6,OPPOSITE (HZ↑ RZV↓)
CSNK1A1,-0.29,***,0.3,0.5,0.3,OPPOSITE (HZ↓ RZV↑)
SNRPF,0.36,***,-0.2,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
CDV3,-0.49,***,-0.1,0.0,-0.3,CONCORDANT ↓
CD2,0.97,***,0.1,-0.0,0.1,CONCORDANT ↑
GNAS,-0.86,**,-0.1,-0.0,0.0,CONCORDANT ↓
SUPT20H,0.42,***,-0.4,0.0,0.2,OPPOSITE (HZ↑ RZV↓)
FGD5-AS1,0.26,***,0.1,-0.1,0.1,CONCORDANT ↑
PATL2,-0.58,**,0.5,0.3,0.2,OPPOSITE (HZ↓ RZV↑)
PXN,-0.44,***,-0.4,-0.0,-0.3,CONCORDANT ↓
CLDND1,-0.98,***,-0.0,-0.0,0.6,CONCORDANT ↓
FBL,0.29,***,-0.4,-0.4,-0.4,OPPOSITE (HZ↑ RZV↓)
RPL41,0.42,***,-0.4,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
EEF1A1,0.89,***,-0.4,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
PKN2,-0.3,***,-0.4,-0.1,-0.1,CONCORDANT ↓
RBIS,-1.21,***,0.1,0.2,0.1,OPPOSITE (HZ↓ RZV↑)
SEPTIN9,-1.24,***,0.5,0.8,-0.2,OPPOSITE (HZ↓ RZV↑)
SEPTIN6,-1.32,***,0.4,0.4,0.1,OPPOSITE (HZ↓ RZV↑)
TNFSF14,0.6,***,-1.0,-0.6,-0.5,OPPOSITE (HZ↑ RZV↓)
MORF4L2,-0.41,**,-0.1,-0.3,0.1,CONCORDANT ↓
GCDH,-0.98,***,0.7,0.4,1.3,OPPOSITE (HZ↓ RZV↑)
DGCR6L,-0.32,***,1.5,1.3,1.3,OPPOSITE (HZ↓ RZV↑)
SUMF2,-0.3,***,0.5,0.2,0.1,OPPOSITE (HZ↓ RZV↑)
RPL27A,0.86,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
OASL,0.36,***,0.1,-0.7,1.0,CONCORDANT ↑
CYB5B,0.29,***,0.2,0.1,0.5,CONCORDANT ↑
NSUN2,0.3,***,-0.2,-0.2,0.2,OPPOSITE (HZ↑ RZV↓)
LAIR2,0.36,***,3.2,3.9,3.1,CONCORDANT ↑
CD226,0.33,***,0.1,-0.3,-0.1,CONCORDANT ↑
PTMS,-0.44,**,2.7,3.8,2.1,OPPOSITE (HZ↓ RZV↑)
FKBP8,-0.55,*,0.9,0.3,0.5,OPPOSITE (HZ↓ RZV↑)
TTC3,0.28,***,-0.1,0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
TGFBR3,0.43,***,-0.1,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
ANKRD12,0.4,***,0.1,-0.0,-0.1,CONCORDANT ↑
TMED5,0.34,***,0.0,0.2,0.5,CONCORDANT ↑
SF3B4,-0.3,***,0.0,-0.3,0.1,OPPOSITE (HZ↓ RZV↑)
LTN1,0.47,***,-0.1,-0.0,-0.1,OPPOSITE (HZ↑ RZV↓)
GNG2,0.48,***,0.9,0.7,-0.2,CONCORDANT ↑
RBM25,0.41,***,-0.2,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
TMED2,-0.45,***,-0.2,-0.1,0.4,CONCORDANT ↓
CLK4,0.27,***,0.4,0.4,0.3,CONCORDANT ↑
CD320,-0.5,**,-0.2,-0.4,0.7,CONCORDANT ↓
TMEM167A,0.33,***,0.2,-0.1,0.3,CONCORDANT ↑
PPP1CB,0.58,***,0.2,0.0,0.2,CONCORDANT ↑
DDX17,0.77,***,0.1,0.2,-0.6,CONCORDANT ↑
MED10,-0.54,***,0.1,0.0,0.2,OPPOSITE (HZ↓ RZV↑)
ZAP70,-0.27,***,0.4,0.5,0.1,OPPOSITE (HZ↓ RZV↑)
RASGRP2,-0.4,***,0.5,0.4,-0.8,OPPOSITE (HZ↓ RZV↑)
TLE5,-3.26,***,0.2,0.8,-0.4,OPPOSITE (HZ↓ RZV↑)
SYNE2,0.33,***,0.0,0.1,-0.3,CONCORDANT ↑
RPL10,0.53,***,-0.3,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
DYNLRB1,0.63,***,0.1,-0.1,0.0,CONCORDANT ↑
RBBP6,-0.44,**,0.1,0.3,-0.1,OPPOSITE (HZ↓ RZV↑)
TPP1,0.6,***,0.6,0.6,0.3,CONCORDANT ↑
RAN,0.56,***,-0.1,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
RPL37A,1.05,***,-0.2,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
KLF3,-0.95,**,-0.7,-1.1,-0.6,CONCORDANT ↓
MIAT,0.41,***,1.1,1.7,0.2,CONCORDANT ↑
CHORDC1,0.51,***,-0.5,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
VMP1,-0.36,***,-0.6,-0.3,-0.2,CONCORDANT ↓
TNFAIP3,-1.27,***,0.2,0.5,0.4,OPPOSITE (HZ↓ RZV↑)
PRRC2C,0.41,***,-0.3,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
IRAK4,0.73,***,0.7,0.7,0.3,CONCORDANT ↑
RNPEPL1,-0.28,***,1.0,1.6,-0.8,OPPOSITE (HZ↓ RZV↑)
RNF213,0.67,***,0.3,0.6,0.0,CONCORDANT ↑
EIF2S3,0.31,***,0.2,-0.2,-0.3,CONCORDANT ↑
RPL37,0.89,***,-0.2,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
AIF1,-0.33,***,-2.0,-4.0,-3.7,CONCORDANT ↓
SRA1,-0.33,*,-0.4,-0.5,0.0,CONCORDANT ↓
CD46,0.44,***,0.1,0.1,0.2,CONCORDANT ↑
ANXA11,-0.3,***,0.6,0.3,0.3,OPPOSITE (HZ↓ RZV↑)
LRP10,-0.28,***,0.9,1.0,0.1,OPPOSITE (HZ↓ RZV↑)
RPS7,-0.43,***,-0.2,-0.3,-0.1,CONCORDANT ↓
CARD8,0.33,***,0.7,0.9,0.7,CONCORDANT ↑
COX7C,0.66,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
USP1,0.28,***,-0.1,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
CNIH4,0.33,***,0.7,0.6,0.6,CONCORDANT ↑
TNFRSF1B,-0.32,***,0.3,0.7,-0.1,OPPOSITE (HZ↓ RZV↑)
MSH2,0.36,***,0.5,0.2,0.1,CONCORDANT ↑
PSMG2,0.27,***,0.3,-0.1,0.1,CONCORDANT ↑
OSTC,0.46,***,0.2,0.1,0.2,CONCORDANT ↑
PNRC2,0.63,***,0.3,0.1,0.2,CONCORDANT ↑
ZNF22,0.4,***,-0.8,-0.4,0.2,OPPOSITE (HZ↑ RZV↓)
ARF1,-0.49,***,-0.2,-0.1,0.0,CONCORDANT ↓
RASAL3,-0.31,***,1.6,2.4,1.0,OPPOSITE (HZ↓ RZV↑)
METTL23,0.76,***,0.5,0.1,0.0,CONCORDANT ↑
RACK1,0.88,***,-0.2,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
JPT1,0.74,***,0.1,0.1,0.1,CONCORDANT ↑
LCK,-0.38,***,1.1,0.9,0.5,OPPOSITE (HZ↓ RZV↑)
UTP6,0.28,***,0.3,0.1,-0.0,CONCORDANT ↑
DAXX,0.39,***,0.1,0.3,0.1,CONCORDANT ↑
EDF1,0.48,***,0.1,-0.1,0.1,CONCORDANT ↑
RPSA,1.36,***,-0.1,-0.3,-0.4,OPPOSITE (HZ↑ RZV↓)
SERPINB1,0.57,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
EBAG9,0.3,***,0.5,0.3,-0.1,CONCORDANT ↑
FNBP4,0.28,***,0.0,0.4,-0.2,CONCORDANT ↑
HLA-E,-0.67,***,-0.2,-0.0,-0.1,CONCORDANT ↓
SERINC3,0.63,***,0.5,0.6,0.2,CONCORDANT ↑
RPL13A,0.81,***,-0.2,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
PSMB9,0.45,***,0.0,0.1,-0.0,CONCORDANT ↑
MRPL42,0.43,***,0.5,0.6,0.5,CONCORDANT ↑
RBM38,-1.03,***,0.1,-0.4,-0.1,OPPOSITE (HZ↓ RZV↑)
GIMAP6,0.98,***,-1.4,-2.0,-2.4,OPPOSITE (HZ↑ RZV↓)
ZNF24,0.34,***,0.3,-0.2,-0.1,CONCORDANT ↑
ADAR,0.27,***,0.2,0.1,0.0,CONCORDANT ↑
LINC00174,-1.45,***,-0.5,0.0,0.1,CONCORDANT ↓
CCND3,-0.25,***,-0.7,-1.1,0.6,CONCORDANT ↓
GPR174,0.64,***,0.2,-1.8,0.0,CONCORDANT ↑
COA3,0.33,***,0.1,-0.2,0.2,CONCORDANT ↑
RHOH,-0.53,**,-0.5,-0.3,-0.3,CONCORDANT ↓
HLA-DMA,0.74,***,0.7,0.2,-0.9,CONCORDANT ↑
NME3,-0.26,***,0.7,1.1,1.6,OPPOSITE (HZ↓ RZV↑)
PSME1,-0.44,***,0.2,-0.0,0.3,OPPOSITE (HZ↓ RZV↑)
GPX1,1.08,***,0.9,0.6,0.3,CONCORDANT ↑
KLF2,0.34,***,1.2,1.2,1.5,CONCORDANT ↑
EIF3H,0.45,***,0.0,-0.1,-0.1,CONCORDANT ↑
EFR3A,0.3,***,-0.0,0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
DOCK11,0.34,***,0.4,0.0,-0.2,CONCORDANT ↑
HINT1,0.32,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
TRAT1,0.35,***,-0.6,-0.4,-0.9,OPPOSITE (HZ↑ RZV↓)
TOR1AIP1,0.25,***,0.1,-0.4,0.2,CONCORDANT ↑
UQCRB,0.48,***,-0.2,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
JMJD1C,-0.26,***,-0.6,-0.1,-0.4,CONCORDANT ↓
NFYB,0.27,***,0.0,-0.2,0.3,CONCORDANT ↑
H2AZ1,-1.68,***,-0.1,-0.1,0.1,CONCORDANT ↓
VHL,0.26,***,0.1,0.1,-1.1,CONCORDANT ↑
HERPUD1,-1.23,***,-0.0,-0.1,0.3,CONCORDANT ↓
TRPM7,0.27,***,-0.0,0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
COG2,0.27,***,-0.4,-0.5,-0.0,OPPOSITE (HZ↑ RZV↓)
LGALS8,0.28,***,0.3,0.7,0.1,CONCORDANT ↑
PSMD7,-0.33,***,0.2,0.1,0.3,OPPOSITE (HZ↓ RZV↑)
CD48,1.08,***,-1.0,-0.8,-0.3,OPPOSITE (HZ↑ RZV↓)
SH3BGRL,0.48,***,0.7,0.7,0.2,CONCORDANT ↑
CAPNS1,-0.38,***,-0.1,0.2,0.2,CONCORDANT ↓
ASNSD1,0.48,***,-0.1,-0.2,0.2,OPPOSITE (HZ↑ RZV↓)
FTL,0.29,***,-0.4,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
BRI3,-0.3,***,-0.5,0.5,-1.2,CONCORDANT ↓
NUCB1,-0.34,***,0.9,0.8,0.3,OPPOSITE (HZ↓ RZV↑)
PCBP2,-1.0,***,0.0,0.0,-0.1,OPPOSITE (HZ↓ RZV↑)
N4BP2L2,0.36,***,0.3,0.2,0.1,CONCORDANT ↑
ATP5F1C,0.33,***,0.2,-0.1,0.1,CONCORDANT ↑
SDF2,0.3,***,-0.0,0.4,0.5,OPPOSITE (HZ↑ RZV↓)
CLTA,0.4,***,0.7,0.4,0.1,CONCORDANT ↑
ADD3,0.43,***,0.7,1.0,0.4,CONCORDANT ↑
SYTL3,-0.59,*,0.4,1.8,0.1,OPPOSITE (HZ↓ RZV↑)
RIF1,0.33,***,-0.1,-0.1,-0.6,OPPOSITE (HZ↑ RZV↓)
NDUFA2,0.27,***,0.3,0.1,0.3,CONCORDANT ↑
RUNX3,-1.59,***,0.4,0.3,-0.1,OPPOSITE (HZ↓ RZV↑)
ATP6V0B,-0.49,**,-0.0,-0.0,0.4,CONCORDANT ↓
FLOT2,-0.48,*,3.7,2.2,2.4,OPPOSITE (HZ↓ RZV↑)
MRPS14,0.27,***,0.2,-0.1,-0.1,CONCORDANT ↑
DNAJB1,-1.55,***,-0.4,-0.3,0.2,CONCORDANT ↓
APBB1IP,0.37,***,-0.1,-0.2,-0.5,OPPOSITE (HZ↑ RZV↓)
DNAJC15,0.54,***,0.2,-0.2,0.0,CONCORDANT ↑
CHD1,-0.4,***,-0.2,0.0,-0.0,CONCORDANT ↓
NCBP2,0.35,***,-0.0,0.0,0.3,OPPOSITE (HZ↑ RZV↓)
GIMAP7,1.52,***,-0.1,-0.1,-0.3,OPPOSITE (HZ↑ RZV↓)
MXD4,-0.31,***,6.5,5.2,3.6,OPPOSITE (HZ↓ RZV↑)
PPP3CC,-0.35,***,-0.2,-0.2,-0.3,CONCORDANT ↓
