"","D14","D60","D74","D365"
"ENSG00000123416",-1.22150616921955,-0.505289072581946,-0.843098367319351,-0.0330798834605423
"ENSG00000182107",-9.90167413935918,-6.43689469471833,-5.94027481974733,-6.82954524069877
"ENSG00000153094",2.05436419089319,1.51820457209103,1.88354360575236,0.83406136043056
"ENSG00000100722",1.35549549342871,0.675343651559887,0.99749345530251,0.513375441023484
"ENSG00000172965",2.73388263579336,2.10609925022396,2.76905222209532,1.20810289168004
"ENSG00000152492",3.31678504795715,2.22118377426224,3.15904976294413,1.72574870757263
"ENSG00000002586",1.16324308113171,0.58501573032083,0.964216675642057,0.45522107868456
"ENSG00000198763",-0.605500245905713,-0.253318349012372,-0.475524726398432,-0.269192531207349
"ENSG00000111490",8.86955263914781,2.24197250586125,2.13447944835021,0.0531154757847131
"ENSG00000165169",-1.31459008169277,-1.13163708936634,-1.14341839640734,0.00577047637634432
"ENSG00000088325",7.53449744844168,1.90240905176314,6.35098957153155,2.42797223678052
"ENSG00000140612",0.980413535430104,0.650220498132444,1.10782437122276,0.896169458608195
"ENSG00000100554",1.18334770599358,-0.0820238594813263,0.275099947852507,0.49393486065468
"ENSG00000122644",-1.49782945992146,-0.673530228127081,-0.899667162339958,-0.266490629064347
"ENSG00000163600",1.28311999142867,0.891542348939348,1.24989277044655,0.583689019057517
"ENSG00000169554",3.21197653494346,2.59162701915766,3.63801941629539,3.03284254437747
"ENSG00000110777",1.68517542584863,0.835336816027425,1.45681529752578,0.200194856031127
"ENSG00000102174",8.4918700049575,7.18358332904829,9.40396814679146,5.48577640983797
"ENSG00000143669",1.14553493682006,0.781771807668325,1.35937792112438,0.387182489674549
"ENSG00000160183",7.29605787724526,0.303900999280785,4.85778268199622,2.26203218786765
"ENSG00000124788",1.35636919929,0.958327574138613,0.962464699176459,0.000409167512997602
"ENSG00000254911",6.06083071891773,4.58823827257403,5.55378325811216,1.79721813970557
"ENSG00000240350",6.51432787904807,5.43365665922821,7.06918050539599,2.15576304843869
"ENSG00000224959",5.30310107548755,5.00386105612333,5.08350222960648,2.28997484296773
"ENSG00000163599",1.54055012750942,1.38057574875888,1.61560844730029,1.02118828003535
"ENSG00000145390",-1.82731365275493,-1.57583089224326,-1.83102585141397,-1.04859043548316
"ENSG00000008282",-1.033184336186,-0.449829445914022,-0.962815433495768,-0.215580169665927
"ENSG00000180628",-0.912991229152047,-0.712519634264416,-0.763094693438821,-0.279965594744089
"ENSG00000197696",2.88707945001192,2.37138160829872,2.99764612133713,1.47492137765382
"ENSG00000109861",1.04079787759745,0.851122286415321,1.14222005108161,0.616491890110163
"ENSG00000198734",1.7576385590059,1.84828853129188,2.13806199022787,0.74575303944554
"ENSG00000105699",-4.29170906387561,-0.89179247213915,-2.26393653719093,-0.963835782310987
"ENSG00000168685",-1.19436924756095,-0.461016979857866,-0.73678636328344,-1.01032097217566
"ENSG00000182866",1.09807889283744,0.239093020449847,0.878719253197118,0.454503027500667
"ENSG00000134709",-2.39327283641622,-1.09785690038366,-2.61377991348193,-1.71055036330848
"ENSG00000148175",-1.89133202962668,-1.25997918760948,-2.62671563697227,-1.45100894997249
"ENSG00000100528",0.802074842719455,0.484506710218177,0.806648967252052,0.540887935292568
"ENSG00000166582",-1.43557028441644,-1.44187422999099,-1.14725814966515,-0.101945439833301
"ENSG00000176124",1.48566014990989,1.14220184940445,1.06987358668471,0.102293934748735
"ENSG00000198695",-0.616822976973169,-0.2563629972276,-0.296740413821342,-0.179555969753666
"ENSG00000143184",-2.294928299607,-2.108461588912,-2.1381662825762,-0.637677938754197
"ENSG00000130755",1.07575561134616,0.475155610276007,0.896816459748921,0.240622161379942
"ENSG00000124762",-2.39429094622518,-1.35291896989003,-1.42484233229918,-1.13536633882866
"ENSG00000117676",2.04102455860152,0.295502625270775,0.610257401778271,1.6323162643474
"ENSG00000084234",-1.06254922130392,-0.459810518803741,-0.593668788272241,-0.51198712429581
"ENSG00000234231",4.9578499676395,2.47872451701178,5.40242518609459,3.41516609191818
"ENSG00000263874",5.46453233798774,0.633348031989919,0.46058782111995,-0.961695262403397
"ENSG00000198727",-0.423966303710445,-0.209653993319376,-0.299289793730635,-0.21791901605706
"ENSG00000188229",-0.840329175353696,-0.158048965259312,-0.373241267800617,-0.184877029717805
"ENSG00000198888",-0.485051292305061,-0.105698477739993,-0.400383100588824,-0.277558977672916
"ENSG00000135404",-0.998188029791757,-0.700841212311363,-0.76348147148743,0.417179303128699
"ENSG00000124225",-1.63878808961751,-0.333236817858831,-1.14581523372965,0.0644528297675717
"ENSG00000157349",4.9381249969373,5.00415588635194,4.70752616731155,3.91844929949398
"ENSG00000123685",-3.03056118717304,-1.36896450223431,-2.68029414232219,-0.92929196734269
"ENSG00000226963",-5.09091518963827,-0.879374711746449,-4.79808467668224,-0.565480132480135
"ENSG00000111674",-2.15323332545597,-1.18885463407135,-1.9426817914935,-0.534191958551506
"ENSG00000198886",-0.413334235684364,-0.205466446498031,-0.291758846216612,-0.218175106640603
"ENSG00000142731",5.39451786841313,-0.185241386289406,0.622333833277852,-0.768552751737238
"ENSG00000105278",-7.84511868951247,-5.18672985863941,-5.26430383281333,-5.4904618805434
"ENSG00000067334",-0.52675824259073,-0.197704687434454,-0.566356056716044,-0.141768490435518
"ENSG00000123739",-1.87441422457197,-1.25069274708651,-2.34263695509388,-1.30751276823207
"ENSG00000157483",6.47388678774792,5.56845376161459,8.44981102575492,5.99262017719728
"ENSG00000176105",-1.81185947539183,-0.489890354823105,-1.43594470620804,-1.34352289071622
"ENSG00000167642",-7.00720710357361,-1.57456568761516,-5.77759153036845,-1.11521837733269
"ENSG00000135077",7.55929508473951,8.35249455289072,9.11817395371949,7.95052728746429
"ENSG00000088986",0.869474922193352,0.478847775891081,0.544601715344383,0.32911485110167
"ENSG00000112419",1.36390473033844,0.489559089914651,1.0310709489019,0.902074047081442
"ENSG00000266028",6.10590880072587,4.34820239023641,5.8246842848647,5.63670671860927
"ENSG00000121964",1.54406298687241,0.708134381026282,1.62409555120961,1.04713121332795
"ENSG00000138778",5.77762867943956,3.71144992668014,4.74851783500228,-1.08660037975003
"ENSG00000227170",4.90905075722635,-0.605897398095149,-0.0411629976829769,0.334187603753185
"ENSG00000187764",-0.565244832305284,-0.402063957167316,-0.246029559897413,-0.590560198737375
"ENSG00000026025",-0.990152470922131,-0.305944855232782,-0.726263623557755,-0.801926526211799
"ENSG00000136111",1.5480974407197,1.17695864559877,1.48865871492346,0.231073107909939
"ENSG00000185920",-6.32942074276616,-5.40302330917933,-6.20190725379084,-5.60467313128844
"ENSG00000105926",-0.892481681363104,-0.629649876197203,-1.03523923706813,-0.679405576333949
"ENSG00000137267",-6.72579266332297,-2.39916492612657,-2.81853479624268,-0.600156006853595
"ENSG00000198786",-0.536507839251962,-0.298463739836359,-0.225376518053299,0.0243478929331751
"ENSG00000197279",-3.30196681094348,-2.21921086536398,-1.90678554949362,-2.08934300625733
"ENSG00000100316",-0.488060325441391,-0.169819082741806,-0.428127769493717,-0.189328834307815
"ENSG00000008517",-0.864528844733418,-0.820663155489797,-1.19595853244079,-0.347385368953154
"ENSG00000123933",6.54093743307623,1.22920683130348,5.21400580024358,3.55789750302444
"ENSG00000136738",1.5054650636438,1.23624108343012,1.00594451565214,0.955876327953362
"ENSG00000111537",-1.52873221607294,-1.24806521551136,-1.32266670607893,-0.445181327374562
"ENSG00000047634",-1.8568252128578,-1.54166617004168,-2.19723841114537,-1.39185289413675
"ENSG00000173812",-0.398515924273844,-0.26834984173993,-0.454747506283612,-0.1168351753479
"ENSG00000196230",-1.47663863098221,-0.523456322899953,-1.32156675594772,-0.456594045474599
"ENSG00000004468",6.57780117451109,3.6205004947733,3.25277540355271,0.110667913305636
"ENSG00000060982",6.08165502467527,4.44646381626982,6.8675016323799,1.84783400831553
"ENSG00000174946",-1.04122216291846,-0.679458741362674,-0.654751180597221,-0.969987224624664
"ENSG00000155849",0.675184804535079,0.691940868065978,0.695269828469152,0.328213891528205
"ENSG00000134285",-1.04202993544275,-0.89353830074362,-1.01249446828573,0.0895907523299302
"ENSG00000074266",1.54032771271763,1.27640563359938,1.41749711687197,1.13492225814095
"ENSG00000124574",5.21356059291568,2.52735420706058,5.28793528189353,4.61038239877696
"ENSG00000189007",1.36787105736,0.565039629805414,1.05075713467863,0.2425022208861
"ENSG00000224975",5.75133863721847,1.98079960759205,4.10453877048284,3.29018179309677
"ENSG00000197321",-2.34023352428041,-0.885043884413091,-1.80540088660339,-0.488526643623593
"ENSG00000226928",4.4529014113516,1.35146589331615,3.23574034915095,2.6305199501677
"ENSG00000157557",-2.16463956248413,-0.747788581154219,-1.53345385979614,-1.11208224585074
"ENSG00000180530",-1.53549611725858,-1.04358530615411,-1.1133242049175,-1.34547794660495
"ENSG00000159110",1.07277824497193,0.653129259744583,1.14479051306129,0.562602072351687
"ENSG00000131747",7.05856683200457,4.00159655615786,5.90749079095084,1.01935129069138
"ENSG00000176171",-2.04777116022562,-0.610072068342249,-2.08440502207841,-0.981271687069252
"ENSG00000111912",1.45499719027066,1.07239687422523,0.731084510868716,0.983124679156328
"ENSG00000102007",-1.05993393588172,-0.0609157976183307,-0.293794931465696,-0.166165463558824
