"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id"
-8.29857743319503,-2.5734228169602,-6.97273532949422,3.00934537735587e-07,0.00495398436020323,5.15203503286671,"ENSG00000104267"
0.896169458608195,8.01430957962432,6.2835212300255,1.587651463173e-06,0.0111949069677554,4.85549410612036,"ENSG00000140612"
3.03284254437747,7.57887016024902,6.15022340958093,2.20373843338084e-06,0.0111949069677554,4.92506792124182,"ENSG00000169554"
7.17664143535047,-2.23196593380284,6.02123381397476,3.03200136160383e-06,0.0111949069677554,3.51140074420234,"ENSG00000188536"
0.660736651434495,10.2031132686877,5.96743415420285,3.46528743426049e-06,0.0111949069677554,3.33340474685536,"ENSG00000168214"
7.54453113057761,-0.100148775316626,5.89543250350999,4.14540129488071e-06,0.0111949069677554,3.41321011419965,"ENSG00000244734"
5.3748898186504,-3.82852211012802,5.8399937524607,4.76031762691581e-06,0.0111949069677554,2.60117519754295,"ENSG00000206172"
6.64242501927075,-3.68914790840267,5.71687964572453,6.47838243003646e-06,0.0133308914454075,2.7017333511174,"ENSG00000169570"
7.95052728746429,3.05378722812142,5.64057025752848,7.84702038900518e-06,0.0143530721826448,2.95059134223875,"ENSG00000135077"
0.884921778697869,7.59330546556871,5.48526106940763,1.16076642408897e-05,0.0182020905333321,2.92012981371432,"ENSG00000116815"
-0.396453903718965,11.4527211188804,-5.44322721168636,1.29092612054808e-05,0.0182020905333321,1.40947798678195,"ENSG00000210082"
0.913049233601296,7.51272856420825,5.43238133131037,1.32684416474296e-05,0.0182020905333321,2.6950298879457,"ENSG00000104907"
-5.55973699007647,1.64470611334143,-5.25046658830823,2.10489970944877e-05,0.0266545069361121,2.0790485940479,"ENSG00000145687"
5.26345471540186,-2.52330912920362,5.18313442634618,2.49822011458325e-05,0.027093751198733,1.5187881335792,"ENSG00000225420"
-6.82954524069877,-1.2873892969183,-5.17697951372077,2.53768084046537e-05,0.027093751198733,1.95365105212668,"ENSG00000182107"
-0.590560198737375,8.15427828179945,-5.16245100368431,2.63333749957313e-05,0.027093751198733,1.89114104399308,"ENSG00000187764"
-1.01032097217566,10.060112786975,-5.05972462176374,3.42182914523998e-05,0.0331353831699651,0.969210900012918,"ENSG00000168685"
-0.537106971987886,9.25211616877993,-5.00386615930561,3.94637681774446e-05,0.0360918084298385,1.19975457089713,"ENSG00000070756"
-1.17863371818815,8.60960020795384,-4.96197018679837,4.39229355573514e-05,0.0375792180967402,1.20563386676962,"ENSG00000118971"
1.57885071447194,5.97857483202328,4.94683400345293,4.56557138825662e-05,0.0375792180967402,1.94540966185682,"ENSG00000127884"
1.02972875964479,5.61717353688761,4.88808087129195,5.30582141575345e-05,0.0379744969761585,1.73977761682861,"ENSG00000124588"
-0.92258687441165,6.71302138019846,-4.88558852726272,5.33976224959973e-05,0.0379744969761585,1.53942571430423,"ENSG00000204590"
-5.94808222257537,-4.63059752473075,-4.88061799113862,5.40810376135481e-05,0.0379744969761585,0.93669203256409,"ENSG00000118785"
-1.54519573147347,5.85522769258523,-4.84579789568233,5.91213487393867e-05,0.0379744969761585,1.64993125566503,"ENSG00000076641"
0.673481879253525,7.82260992225033,4.82681658675766,6.20649044637737e-05,0.0379744969761585,1.17461285490891,"ENSG00000172531"
-1.71055036330848,5.04421952102337,-4.82157956688695,6.29026324891216e-05,0.0379744969761585,1.61566256209055,"ENSG00000134709"
-0.88582085705353,8.12758288879387,-4.81890719535199,6.33344756595875e-05,0.0379744969761585,1.02161505273987,"ENSG00000163513"
-4.18004825365585,0.707741820433687,-4.79963001734371,6.65389866149612e-05,0.0379744969761585,0.838890750838035,"ENSG00000241764"
-4.56613041472604,0.158916970037518,-4.78521176125168,6.90416862496105e-05,0.0379744969761585,0.787241739983885,"ENSG00000211869"
-6.96437263206452,-2.77496767794309,-4.78429530358643,6.92039186784568e-05,0.0379744969761585,0.971128586842032,"ENSG00000165029"
0.747911180427891,7.68320202206394,4.769931694069,7.17971206233529e-05,0.0381265870871495,1.02819705872494,"ENSG00000067066"
-4.97321613817864,-0.883393460628817,-4.71898385702132,8.18064997602522e-05,0.0399624556846646,0.766032924288481,"ENSG00000211839"
0.756811431330437,9.34956627652735,4.71884697435369,8.18351946448956e-05,0.0399624556846646,0.459162808808175,"ENSG00000115738"
