gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953603,2_DR0701_Baseline_lib40452,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953604,2_DR0701_Baseline_lib40453,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953605,2_DR0701_Baseline_lib40454,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953606,2_DR0701_Baseline_lib40455,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953607,2_DR0701_Baseline_lib40456,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953608,2_DR0701_Baseline_lib40457,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953609,2_DR0701_Baseline_lib40458,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953610,2_DR0701_Baseline_lib40459,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953611,2_DR0701_Baseline_lib40460,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953612,2_DR0701_Baseline_lib40461,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953613,2_DR0701_Baseline_lib40462,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953614,2_DR0701_Baseline_lib40463,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953615,2_DR0701_Baseline_lib40464,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953616,2_DR0701_Baseline_lib40465,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953617,2_DR0701_Baseline_lib40466,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953618,2_DR0701_Baseline_lib40467,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953619,2_DR0701_Baseline_lib40468,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953620,2_DR0701_Baseline_lib40469,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953621,2_DR0701_Baseline_lib40470,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953622,2_DR0701_Baseline_lib40471,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953623,2_DR0701_Baseline_lib40472,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953624,2_DR0701_Baseline_lib40473,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953625,2_DR0701_Baseline_lib40474,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953626,2_DR0701_Baseline_lib40475,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953627,2_DR0701_Baseline_lib40476,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953628,2_DR0701_Baseline_lib40477,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953629,2_DR0701_Baseline_lib40478,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953630,2_DR0701_Baseline_lib40479,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953631,2_DR0701_Baseline_lib40480,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953632,2_DR0701_Baseline_lib40481,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953633,2_DR0701_Baseline_lib40482,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953634,2_DR0701_Baseline_lib40483,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953635,1_DR0401_Baseline_lib40933,CD4 T cell,1,DR0401,FALSE,Baseline
