"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","symbol"
18.5757171046963,2.01331773101099,0.275958543045196,7.29572532451461,2.97054378905896e-13,2.49482030183478e-09,"ENSG00000164611","PTTG1"
97.218152288038,1.49699286759477,0.205683813980017,7.27812674525867,3.384872534882e-13,2.49482030183478e-09,"ENSG00000131747","TOP2A"
346.971985220607,0.793706758736482,0.124366289872733,6.38200881885838,1.74779895845964e-10,8.58810148221786e-07,"ENSG00000133321","PLAAT4"
6.47978324889194,2.51402301412333,0.396335295401745,6.34317216581731,2.2508164925888e-10,NA,"ENSG00000122952","ZWINT"
101.961295889359,1.20421312475998,0.193875847759688,6.21125910563457,5.25617210913678e-10,1.93703082651963e-06,"ENSG00000117632","STMN1"
30.6860376997364,1.46120205045835,0.247365259047485,5.90706251995499,3.4826161152753e-09,8.5562073592122e-06,"ENSG00000189057","FAM111B"
16.6156410538305,1.01550834346549,0.17833400468286,5.69441787207897,1.2379355613596e-08,2.60453799457683e-05,"ENSG00000065328","MCM10"
98.2794201336485,1.24473857550497,0.219463026686593,5.67174614465939,1.41349324717554e-08,2.60453799457683e-05,"ENSG00000148773","MKI67"
31.9474487536794,0.779333756820409,0.138026850516629,5.64624747940993,1.6398773996089e-08,2.68593697195943e-05,"ENSG00000277972","CISD3"
11.6145648540555,1.61309167474563,0.293340059351189,5.49905007285221,3.81842700837212e-08,NA,"ENSG00000164687","FABP5"
10.6136299067403,1.69176304074003,0.312184015626678,5.41912127481604,5.98926810126701e-08,NA,"ENSG00000089685","BIRC5"
4.50866766291452,1.88356332191453,0.349549400558599,5.38854685175969,7.10296473038606e-08,NA,"ENSG00000123485","HJURP"
77.3903809472499,1.01332885771895,0.194590076538787,5.20750531447051,1.91396357980983e-07,0.000282137371299767,"ENSG00000117724","CENPF"
145.904440035209,0.560639727071538,0.108545618262733,5.1650148209071,2.40419872062838e-07,0.000303167229322205,"ENSG00000184990","SIVA1"
65.1192378206739,0.893955338928501,0.173243219142119,5.1601173388215,2.46795112398511e-07,0.000303167229322205,"ENSG00000171848","RRM2"
1319.66624053847,-0.4777273150974,0.0936815381786609,-5.09948197249197,3.40584304081061e-07,0.000386196402035301,"ENSG00000133816","MICAL2"
