baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,ensembl_id_clean,symbol
97.3869632934068,1.24784746177629,0.155030724417127,8.04903328980662,8.34505490520015e-16,1.12282713749468e-11,ENSG00000131747,ENSG00000131747,TOP2A
18.6212130250453,1.73807200326706,0.235813729195341,7.37052931225772,1.69951891224218e-13,1.1433513482109301e-09,ENSG00000164611,ENSG00000164611,PTTG1
347.798955048925,0.659343045513889,0.0904639358157525,7.28846296116023,3.13511054910993e-13,1.4060970812758e-09,ENSG00000133321,ENSG00000133321,PLAAT4
102.119114261783,0.943066794227163,0.138990303572972,6.78512651590863,1.15984825750164e-11,3.90143957617114e-08,ENSG00000117632,ENSG00000117632,STMN1
30.7041129016217,1.16784192583715,0.18728467422833,6.23565131876924,4.49902215380998e-10,1.21068686159027e-06,ENSG00000189057,ENSG00000189057,FAM111B
586.266787359041,-0.518540522263794,0.0845733566722174,-6.13125152728077,8.719042817544301e-10,1.95524535183431e-06,ENSG00000135083,ENSG00000135083,CCNJL
65.2365791957911,0.691220918514845,0.113462723802248,6.09205292585398,1.1147181486614002e-09,2.14264752717701e-06,ENSG00000171848,ENSG00000171848,RRM2
431.109357772311,-0.625814170917248,0.107217529000702,-5.83686433319265,5.31923727602806e-09,8.9462921936197e-06,ENSG00000276386,ENSG00000276386,CNTNAP3P2
771.426140800719,-0.372001397509246,0.0644588647773998,-5.77114410552999,7.87351038795701e-09,1.17708980299957e-05,ENSG00000134152,ENSG00000134152,KATNBL1
1321.76521185116,-0.443837259667215,0.0779416484887973,-5.69448129815997,1.23747548774564e-08,1.66502326876176e-05,ENSG00000133816,ENSG00000133816,MICAL2
95.8965537552736,-0.835186341754121,0.147253857918507,-5.67174506365957,1.41350216834163e-08,1.72897015227606e-05,ENSG00000285966,ENSG00000285966,
783.670133028175,-0.596086914677263,0.106485143324795,-5.59784112661719,2.17037503975494e-08,2.43353301332522e-05,ENSG00000184005,ENSG00000184005,ST6GALNAC3
3544.38942869624,-0.773338111009661,0.139171794822974,-5.55671579858079,2.74897802889528e-08,2.80934307938323e-05,ENSG00000183023,ENSG00000183023,SLC8A1
72.502618543165,-0.515329577661118,0.0929194942491919,-5.54597914920958,2.92313661176999e-08,2.80934307938323e-05,ENSG00000232973,ENSG00000232973,CYP1B1-AS1
229.420148917693,-0.680265232811182,0.123086567549062,-5.5267219352756,3.26269454601093e-08,2.92663700777181e-05,ENSG00000275649,ENSG00000275649,
32.0520563078079,0.689505997940596,0.125831239122297,5.47960906011943,4.26266634879347e-08,3.38011174552406e-05,ENSG00000277972,ENSG00000277972,CISD3
261.293701775759,-0.760103895119031,0.138723392043141,-5.47927702692456,4.27067258817607e-08,3.38011174552406e-05,ENSG00000287771,ENSG00000287771,
79.0430799776355,0.544530936329142,0.100464810209044,5.42011611026886,5.95603390860238e-08,4.45213534668028e-05,ENSG00000157873,ENSG00000157873,TNFRSF14
928.238266398762,-0.360807259578498,0.0677181903410081,-5.32807001725213,9.9261861213804e-08,7.0293070664828e-05,ENSG00000113749,ENSG00000113749,HRH2
270.592009218416,-0.664642937873925,0.125188900981054,-5.30912031869751,1.10155599843135e-07,7.41071797944692e-05,ENSG00000286288,ENSG00000286288,LOC100289473
60.6630975040814,0.809447633402184,0.152852564652082,5.29561041546555,1.18619492125462e-07,7.60012031689569e-05,ENSG00000137078,ENSG00000137078,SIT1
231.168463421142,-0.471151497131519,0.0895119414038001,-5.26356025511829,1.41292171167609e-07,8.4107087819609e-05,ENSG00000132122,ENSG00000132122,SPATA6
490.646955904866,-0.304630266812302,0.057976308749691,-5.25439224024288,1.48514068855789e-07,8.4107087819609e-05,ENSG00000058866,ENSG00000058866,DGKG
64.6070164322731,0.543490477681922,0.10347212653246,5.25253027936394,1.5002379098258e-07,8.4107087819609e-05,ENSG00000138778,ENSG00000138778,CENPE
