"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","17/71","239/9393",0.0711297071129707,9.4101597029878,11.4934763432195,1.35790441934149e-12,4.76624451188864e-10,4.76624451188864e-10,"6773/6175/6133/6157/6201/10379/712/6170/6171/6772/6155/3921/2197/9636/6235/11224/6193",17
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","14/71","223/9393",0.062780269058296,8.30556432767006,9.635520947637,8.74037094029607e-10,1.53393510002196e-07,1.53393510002196e-07,"6175/63875/6133/6157/6201/6170/6171/6155/3921/6150/2197/6235/11224/6193",14
