"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","GO:0051607","defense response to virus","17/132","305/18842",0.0557377049180328,7.95613512170889,10.2872726615185,4.63637859125585e-11,1.43743430469903e-07,1.43743430469903e-07,"ENSG00000136514/ENSG00000170581/ENSG00000137959/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000213928/ENSG00000138646/ENSG00000115415/ENSG00000168028/ENSG00000154451/ENSG00000187608/ENSG00000117228/ENSG00000135114/ENSG00000152778/ENSG00000134321/ENSG00000137628",17
"GO:0009615","GO:0009615","response to virus","19/132","400/18842",0.0475,6.78026515151515,9.81467208800426,4.88923232890827e-11,1.43743430469903e-07,1.43743430469903e-07,"ENSG00000136514/ENSG00000170581/ENSG00000137959/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000213928/ENSG00000138646/ENSG00000115415/ENSG00000168028/ENSG00000154451/ENSG00000187608/ENSG00000117228/ENSG00000135114/ENSG00000117632/ENSG00000152778/ENSG00000137965/ENSG00000134321/ENSG00000137628",19
"GO:1901740","GO:1901740","negative regulation of myoblast fusion","7/132","47/18842",0.148936170212766,21.2595099935525,11.6804277571888,3.51455577534815e-08,5.5315229612111e-05,5.5315229612111e-05,"ENSG00000089157/ENSG00000163682/ENSG00000166441/ENSG00000198918/ENSG00000229117/ENSG00000131469/ENSG00000136942",7
"GO:0002181","GO:0002181","cytoplasmic translation","12/132","215/18842",0.0558139534883721,7.96701902748414,8.62972220806346,3.76294078993953e-08,5.5315229612111e-05,5.5315229612111e-05,"ENSG00000089157/ENSG00000163682/ENSG00000166441/ENSG00000171863/ENSG00000198918/ENSG00000229117/ENSG00000131469/ENSG00000168028/ENSG00000149806/ENSG00000213741/ENSG00000136942/ENSG00000083845",12
"GO:0006958","GO:0006958","complement activation, classical pathway","6/132","39/18842",0.153846153846154,21.960372960373,11.0057535415835,2.84598095902239e-07,0.000228939621738879,0.000228939621738879,"ENSG00000211890/ENSG00000173372/ENSG00000211897/ENSG00000211896/ENSG00000211892/ENSG00000211895",6
"GO:0042742","GO:0042742","defense response to bacterium","13/132","322/18842",0.0403726708074534,5.76289290419725,7.24069589294821,4.33351849020511e-07,0.00025481088722406,0.00025481088722406,"ENSG00000211890/ENSG00000198918/ENSG00000154451/ENSG00000211897/ENSG00000149806/ENSG00000187608/ENSG00000117228/ENSG00000211896/ENSG00000211892/ENSG00000211895/ENSG00000100342/ENSG00000157873/ENSG00000162654",13
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","7/132","80/18842",0.0875,12.4899621212121,8.65019845515443,1.46561109183489e-06,0.000662907170768395,0.000662907170768395,"ENSG00000170581/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000115415/ENSG00000187608/ENSG00000135114",7
"GO:0140253","GO:0140253","cell-cell fusion","7/132","89/18842",0.0786516853932584,11.2269322437862,8.12282415819381,3.01717531369903e-06,0.000985610602475015,0.000985610602475015,"ENSG00000089157/ENSG00000163682/ENSG00000166441/ENSG00000198918/ENSG00000229117/ENSG00000131469/ENSG00000136942",7
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","7/132","105/18842",0.0666666666666667,9.51616161616162,7.3500545529823,9.08376424050257e-06,0.00267062668670776,0.00267062668670776,"ENSG00000170581/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000115415/ENSG00000187608/ENSG00000135114",7
"GO:0070269","GO:0070269","pyroptotic inflammatory response","5/132","42/18842",0.119047619047619,16.9931457431457,8.71528637489481,1.08044314629107e-05,0.00302524080961498,0.00302524080961498,"ENSG00000165949/ENSG00000124256/ENSG00000154451/ENSG00000117228/ENSG00000145649",5
"GO:0050853","GO:0050853","B cell receptor signaling pathway","6/132","74/18842",0.0810810810810811,11.5737100737101,7.65484334195806,1.32239447727982e-05,0.0035343997847297,0.0035343997847297,"ENSG00000211890/ENSG00000211679/ENSG00000211897/ENSG00000211896/ENSG00000211892/ENSG00000211895",6
"GO:0002449","GO:0002449","lymphocyte mediated immunity","11/132","339/18842",0.0324483775811209,4.63176007866273,5.66758408063954,2.71112447496684e-05,0.00693104865774131,0.00693104865774131,"ENSG00000211890/ENSG00000173372/ENSG00000211679/ENSG00000211897/ENSG00000026751/ENSG00000211896/ENSG00000211892/ENSG00000211677/ENSG00000134321/ENSG00000211895/ENSG00000157873",11
"GO:0014902","GO:0014902","myotube differentiation","7/132","131/18842",0.0534351145038168,7.62745778394633,6.39346313110908,3.83146686394478e-05,0.00866500967692128,0.00866500967692128,"ENSG00000089157/ENSG00000163682/ENSG00000166441/ENSG00000198918/ENSG00000229117/ENSG00000131469/ENSG00000136942",7
"GO:0007059","GO:0007059","chromosome segregation","12/132","420/18842",0.0285714285714286,4.07835497835498,5.35891664149818,4.03171127798631e-05,0.00878017122761463,0.00878017122761463,"ENSG00000237649/ENSG00000121152/ENSG00000184661/ENSG00000175643/ENSG00000131747/ENSG00000169679/ENSG00000112029/ENSG00000138778/ENSG00000178999/ENSG00000117724/ENSG00000148773/ENSG00000164611",12
