"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048285","GO:0048285","organelle fission","12/139","470/18842",0.025531914893617,3.46095208939232,4.65776536734068,0.00019207146677029,0.0322680064174087,0.0322680064174087,"ENSG00000237649/ENSG00000170581/ENSG00000121152/ENSG00000184661/ENSG00000131747/ENSG00000169679/ENSG00000112029/ENSG00000138778/ENSG00000178999/ENSG00000117724/ENSG00000148773/ENSG00000164611",12
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","6/139","115/18842",0.0521739130434783,7.0723803565843,5.63089617401366,0.000210589114227293,0.0334665943690941,0.0334665943690941,"ENSG00000175643/ENSG00000169679/ENSG00000112029/ENSG00000138778/ENSG00000178999/ENSG00000117724",6
"GO:0048525","GO:0048525","negative regulation of viral process","5/139","74/18842",0.0675675675675676,9.1590511374684,6.06247911621746,0.000217653990613913,0.0336790911792055,0.0336790911792055,"ENSG00000115415/ENSG00000134321/ENSG00000187608/ENSG00000135114/ENSG00000152778",5
"GO:0045088","GO:0045088","regulation of innate immune response","12/139","482/18842",0.024896265560166,3.37478730708379,4.55318857761193,0.000241999382166911,0.0343656020566125,0.0343656020566125,"ENSG00000170581/ENSG00000124256/ENSG00000184979/ENSG00000134321/ENSG00000154451/ENSG00000149131/ENSG00000068079/ENSG00000187608/ENSG00000178999/ENSG00000145365/ENSG00000135114/ENSG00000137628",12
"GO:0140014","GO:0140014","mitotic nuclear division","9/139","281/18842",0.0320284697508897,4.34158580608823,4.86529110011956,0.000242878821322839,0.0343656020566125,0.0343656020566125,"ENSG00000237649/ENSG00000121152/ENSG00000184661/ENSG00000169679/ENSG00000112029/ENSG00000138778/ENSG00000178999/ENSG00000117724/ENSG00000148773",9
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","10/139","345/18842",0.0289855072463768,3.92910019810239,4.73365786772084,0.00024546858611866,0.0343656020566125,0.0343656020566125,"ENSG00000100911/ENSG00000169679/ENSG00000112029/ENSG00000138778/ENSG00000092853/ENSG00000178999/ENSG00000117724/ENSG00000182389/ENSG00000143476/ENSG00000171848",10
"GO:0019058","GO:0019058","viral life cycle","9/139","284/18842",0.0316901408450704,4.29572398419293,4.82445383862947,0.000262685156407523,0.034664750826232,0.034664750826232,"ENSG00000134321/ENSG00000088827/ENSG00000131747/ENSG00000168028/ENSG00000135047/ENSG00000187608/ENSG00000135114/ENSG00000152778/ENSG00000157873",9
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","6/139","120/18842",0.05,6.77769784172662,5.47360011801381,0.000265291460404837,0.034664750826232,0.034664750826232,"ENSG00000184661/ENSG00000169679/ENSG00000112029/ENSG00000178999/ENSG00000117724/ENSG00000148773",6
"GO:0062208","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","5/139","82/18842",0.0609756097560976,8.26548517283734,5.68406280538479,0.000351703902787426,0.041024234236795,0.041024234236795,"ENSG00000134321/ENSG00000154451/ENSG00000068079/ENSG00000135114/ENSG00000137628",5
"GO:1905818","GO:1905818","regulation of chromosome separation","5/139","82/18842",0.0609756097560976,8.26548517283734,5.68406280538479,0.000351703902787426,0.041024234236795,0.041024234236795,"ENSG00000121152/ENSG00000169679/ENSG00000112029/ENSG00000178999/ENSG00000117724",5
"GO:0006959","GO:0006959","humoral immune response","9/139","296/18842",0.0304054054054054,4.12157301186078,4.66657191602992,0.000355822439808936,0.041024234236795,0.041024234236795,"ENSG00000211890/ENSG00000173372/ENSG00000149131/ENSG00000211897/ENSG00000149806/ENSG00000211896/ENSG00000211892/ENSG00000211895/ENSG00000198918",9
