"symbol","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUSP21","ENSG00000189037",6.50535526631045,-2.67410366329966,0.887108338357691,-3.01440483385631,0.00257483975883165,NA
"ZWINT","ENSG00000122952",6.47978324889194,2.51402301412333,0.396335295401745,6.34317216581731,2.2508164925888e-10,NA
"C1QB","ENSG00000173369",3.11283441019307,2.35351594287708,0.673497867483126,3.49446680755236,0.000475009671123016,NA
"IFI27","ENSG00000165949",107.836405924795,2.16082857126048,0.568861010883818,3.79851761663765,0.000145564084505754,0.0132454331462921
"ANKRD22","ENSG00000152766",79.3831855111026,2.15941071301699,0.45230674823381,4.7742173236397,1.80407485100028e-06,0.000949780977806967
"PTTG1","ENSG00000164611",18.5757171046963,2.01331773101099,0.275958543045196,7.29572532451461,2.97054378905896e-13,2.49482030183478e-09
"BATF2","ENSG00000168062",47.214115252813,1.94814330364588,0.406752527751704,4.78950509395505,1.67193154262606e-06,0.000947920879609645
"IGHG4","ENSG00000211892",22.3412552206597,1.93597877138708,0.460609974927758,4.20307608772633,2.63312029473444e-05,0.00491326914742789
"CDK1","ENSG00000170312",5.25203731801074,1.90473031909504,0.387326134071374,4.91763955887379,8.75940064256575e-07,NA
"HJURP","ENSG00000123485",4.50866766291452,1.88356332191453,0.349549400558599,5.38854685175969,7.10296473038606e-08,NA
"H2AC14","ENSG00000276368",6.37799543503777,1.82330465588283,0.387680087932936,4.70311659699748,2.56219999550475e-06,NA
"IFI44L","ENSG00000137959",297.83781121988,1.81661712819781,0.462325720365248,3.92930146037006,8.51929827275239e-05,0.010127659341826
"SERPING1","ENSG00000149131",109.623863623659,1.80057663100071,0.359091840988031,5.01425102293184,5.32404429145006e-07,0.000456054751141831
"OAS1","ENSG00000089127",2.84013759745932,1.78232502298556,0.561295652569193,3.17537649690927,0.00149642206091348,NA
"BIRC5","ENSG00000089685",10.6136299067403,1.69176304074003,0.312184015626678,5.41912127481604,5.98926810126701e-08,NA
"MZB1","ENSG00000170476",20.2802499027729,1.68453880829521,0.364695705711172,4.61902562030525,3.85546255199099e-06,0.00149561509154998
"H1-5","ENSG00000184357",4.10725829895171,1.66784622662768,0.361749371958628,4.61050206555278,4.01697649256536e-06,NA
"IGHG1","ENSG00000211896",49.3336713290572,1.64999039159488,0.392044730249381,4.20867891922772,2.56868089457065e-05,0.00491326914742789
"FABP5","ENSG00000164687",11.6145648540555,1.61309167474563,0.293340059351189,5.49905007285221,3.81842700837212e-08,NA
"ISG15","ENSG00000187608",191.494051497969,1.57296081052768,0.364640672664477,4.31372835902768,1.6052416534114e-05,0.00359518125157584
"RSAD2","ENSG00000134321",295.814033757891,1.54868292304508,0.403325888990129,3.83978059757771,0.000123144311733056,0.0123487775459659
"H2AC13","ENSG00000196747",2.22529729291925,1.54650232859066,0.498660481548746,3.10131318966265,0.0019266439631107,NA
"PDCD1","ENSG00000188389",3.24689998429432,1.52173317613141,0.40170955660904,3.7881428288061,0.000151777591693484,NA
"TOP2A","ENSG00000131747",97.218152288038,1.49699286759477,0.205683813980017,7.27812674525867,3.384872534882e-13,2.49482030183478e-09
"SIGLEC1","ENSG00000088827",23.0723872447752,1.49106384528896,0.409741274199922,3.63903745894401,0.000273658994958514,0.0197918733844289
"MT1E","ENSG00000169715",26.523366934995,1.48473974645435,0.393469209659958,3.77345853246684,0.000160999989962203,0.0142969930845352
"IGLC2","ENSG00000211677",331.236626794775,1.47783369993659,0.299129432938087,4.94044897361361,7.79428887170318e-07,0.000599592694974606
"FAM111B","ENSG00000189057",30.6860376997364,1.46120205045835,0.247365259047485,5.90706251995499,3.4826161152753e-09,8.5562073592122e-06
"IGLC3","ENSG00000211679",304.040994777848,1.44284875782749,0.305592146393348,4.7214850736717,2.34128815925393e-06,0.00104584632592612
"CALHM6","ENSG00000188820",6.08817887440105,1.41843334289458,0.38469582114869,3.68715557829348,0.000226774722377077,NA
"LY6E","ENSG00000160932",92.0000645179084,1.38128415247313,0.28801767670403,4.79583117355867,1.62001680940672e-06,0.000947920879609645
"SNORD13","ENSG00000239039",246.951102977899,1.37337362947349,0.292591228477171,4.69383049048119,2.68136241926443e-06,0.00116252833595226
"RPL9","ENSG00000163682",463.66495922695,1.35545208822265,0.307488497013609,4.40813917069117,1.04262544019234e-05,0.00307386832277505
"GMPSP1","ENSG00000250471",3.5208629293059,1.35198541021447,0.3230671346003,4.18484353689258,2.85362585867427e-05,NA
"CDT1","ENSG00000167513",2.51445189033547,1.33252180177289,0.403297790892416,3.30406422218256,0.000952939994414017,NA
"CDC20","ENSG00000117399",6.19757344551849,1.31856541445556,0.314402864531914,4.19387214050564,2.74232594393344e-05,NA
"IGKV4-1","ENSG00000211598",4.55446956074543,1.31471418252814,0.367909736627574,3.57346939110501,0.000352282440013575,NA
"HNRNPA3P3","ENSG00000214653",11.4242427908558,1.31427830466365,0.477165188900865,2.75434657689731,0.00588094555873905,NA
"FBXO39","ENSG00000177294",13.1331390141552,1.31198497872445,0.304984350406626,4.30181082070347,1.69407922927258e-05,0.00372722715204583
"RNVU1-26","ENSG00000275291",3.59974689218258,1.3070004379171,0.320597087476361,4.07676953089436,4.56657148872178e-05,NA
"RWDD2A","ENSG00000013392",2.19224988969903,1.30500040034966,0.418086560093279,3.12136415018579,0.00180015282761991,NA
"IGHG3","ENSG00000211897",41.3494128846494,1.30294083100731,0.347620648260839,3.74816869344782,0.00017813043576506,0.0149793262375373
"UNC45B","ENSG00000141161",78.5761064926436,-1.30140030501411,0.352894363223496,-3.68779000357652,0.000226210213635688,0.0174868692852658
"CMPK2","ENSG00000134326",100.843230326442,1.29571474513901,0.393765621381064,3.29057356656612,0.000999833543143291,0.039187522942927
"FZD10-AS1","ENSG00000250208",1.89300260013969,1.27909935561502,0.526963971287274,2.42729944609006,0.0152116946234312,NA
"IFI6","ENSG00000126709",10.0963361917896,1.26936596935422,0.481103763850383,2.63844530999964,0.00832871332688195,NA
"IFI44","ENSG00000137965",144.341086619779,1.25518720581925,0.374856967686235,3.34844304366745,0.000812669828865615,0.0357598983501732
"LOC102724354","ENSG00000280191",2.2264694942176,1.25191079103114,0.510715916672862,2.45128602841851,0.0142346789777773,NA
"DEPDC1","ENSG00000024526",2.2040808140762,1.24952843993753,0.461331300279747,2.70852734071983,0.00675825435008232,NA
"IGLC7","ENSG00000211685",4.93507032752406,1.24823524122514,0.455706677377669,2.73911992777463,0.00616038972025895,NA
"MKI67","ENSG00000148773",98.2794201336485,1.24473857550497,0.219463026686593,5.67174614465939,1.41349324717554e-08,2.60453799457683e-05
"IGHA1","ENSG00000211895",110.983502562765,1.23188609793966,0.282398471015147,4.36222651458187,1.28745471291858e-05,0.00345061271329687
"IGHA2","ENSG00000211890",29.3165892297525,1.23135542525901,0.301907456323152,4.07858567077258,4.53105055324045e-05,0.00741412632650002
"C1QA","ENSG00000173372",21.4138934797214,1.23016849151201,0.352587418681621,3.48897443962068,0.000484877511444265,0.0267699602853929
"EPSTI1","ENSG00000133106",960.729481110322,1.22898579303892,0.314183913418764,3.91167637981787,9.16576797700823e-05,0.0105556707616467
"H4C11","ENSG00000197238",8.06279431410986,1.22707624153171,0.281944163026007,4.35219593965675,1.3478072261215e-05,NA
"IRX3","ENSG00000177508",3.00078453807993,-1.21377663802786,0.451300116916371,-2.6895110205628,0.00715567842723124,NA
"GBP1","ENSG00000117228",739.888189164847,1.2099239589684,0.283397697531305,4.2693499965177,1.96043439834408e-05,0.00401371714805418
"STMN1","ENSG00000117632",101.961295889359,1.20421312475998,0.193875847759688,6.21125910563457,5.25617210913678e-10,1.93703082651963e-06
"LINC02893","ENSG00000269994",3.6461083614286,1.19247261966475,0.359326344246887,3.3186339904024,0.000904589119173649,NA
"AURKB","ENSG00000178999",12.0902179529494,1.1840338920307,0.267638016815405,4.42401235115769,9.68844775834297e-06,0.0030060246421765
"ETV7","ENSG00000010030",36.110710465146,1.17901306372571,0.294069431794042,4.00930166910872,6.08985770281255e-05,0.00871559149486988
"CDCA7","ENSG00000144354",8.50591953435583,1.17418292570167,0.279438822792439,4.20193197912886,2.64646661567461e-05,NA
"RTP4","ENSG00000136514",34.1776037034942,1.16514294397133,0.253537683826894,4.59554148473977,4.31626904411562e-06,0.00155652323903286
"TNFRSF4","ENSG00000186827",2.88556918132379,1.16489549992483,0.471567130119196,2.47026441310781,0.0135013216039085,NA
"RNY4","ENSG00000252316",3.1941666992427,1.15966438493233,0.478664126264155,2.42271004092827,0.015405217286595,NA
"MTCYBP36","ENSG00000216853",11.9245575172346,1.15037598372774,0.41041302660923,2.802971419382,0.00506341562241472,0.0873408894790307
