"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","17/75","239/9393",0.0711297071129707,8.90828451882845,11.1102569393842,3.55321018461357e-12,1.24717677479936e-09,1.24717677479936e-09,"6773/6175/11224/6133/6157/10379/6171/6772/712/6193/6155/3921/2197/9636/6201/6235/6170",17
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","14/75","223/9393",0.062780269058296,7.86260089686099,9.30475252742719,1.87159541773234e-09,3.28464995812026e-07,3.28464995812026e-07,"6175/11224/63875/6133/6157/6171/6193/6155/3921/2197/6150/6201/6235/6170",14
