Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),5/406,0.0256948081575935,0.1666635726891738,0,0,3.160443048223597,11.571855792213812,PID1;GUCY1B1;RAP1A;CPNE5;RAPGEF2
GO_Biological_Process_2023,BMP Signaling Pathway (GO:0030509),2/61,0.0259944000496572,0.1666635726891738,0,0,8.414830508474576,30.7130723231266,RUNX2;BMP6
GO_Biological_Process_2023,Negative Regulation Of Fatty Acid Oxidation (GO:0046322),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,PLIN5
GO_Biological_Process_2023,Establishment Of Protein Localization To Peroxisome (GO:0072663),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,ZFAND6
GO_Biological_Process_2023,Negative Regulation Of Glucose Import (GO:0046325),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,PID1
GO_Biological_Process_2023,DNA Ligation (GO:0006266),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,TOP2A
GO_Biological_Process_2023,Fructose Metabolic Process (GO:0006000),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,KHSRP
GO_Biological_Process_2023,Negative Regulation Of Nitric Oxide Biosynthetic Process (GO:0045019),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,KHSRP
GO_Biological_Process_2023,Negative Regulation Of Nitric Oxide Metabolic Process (GO:1904406),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,KHSRP
GO_Biological_Process_2023,U4 snRNA 3'-End Processing (GO:0034475),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,EXOSC6
GO_Biological_Process_2023,"Heparan Sulfate Proteoglycan Biosynthetic Process, Polysaccharide Chain Biosynthetic Process (GO:0015014)",1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,HS2ST1
GO_Biological_Process_2023,Regulation Of Lipase Activity (GO:0060191),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,PLIN5
GO_Biological_Process_2023,Regulation Of Mammary Gland Epithelial Cell Proliferation (GO:0033599),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,RTN4
GO_Biological_Process_2023,Regulation Of Microvillus Organization (GO:0032530),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,PLD1
GO_Biological_Process_2023,Neuron Projection Arborization (GO:0140058),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,SSNA1
GO_Biological_Process_2023,Cellular Response To Nitric Oxide (GO:0071732),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,GUCY1B1
GO_Biological_Process_2023,Cellular Response To Reactive Nitrogen Species (GO:1902170),1/7,0.028353412163333,0.1666635726891738,0,0,40.97119341563786,145.98068571220736,GUCY1B1
